item_id,models_name,item_description,price,discount,rental_days_allowed,subcategory_id
1,NordRide C1,Light city e-bike with front basket,14.5,0.0,7,1
2,VoltCity E2,Commuter e-bike for short city trips,16.0,0.05,7,1
3,CargoMove XL,Cargo e-bike for groceries and parcels,28.0,0.1,3,2
4,FamilyCargo Duo,Cargo e-bike with child seats,31.5,0.08,3,2
5,SwiftScoot S,Standard electric scooter,9.9,0.0,2,3
6,UrbanScoot Lite,Lightweight electric scooter,8.5,0.03,2,3
7,RangeScoot Pro,Long range electric scooter,18.0,0.05,5,4
8,NordicRange 45,Long range scooter for extended trips,20.0,0.07,5,4
9,KickGo Basic,Standard electric kickboard,6.9,0.0,1,5
10,KickGo Plus,Kickboard with improved battery,8.2,0.02,1,5
11,TurboKick X,Performance kickboard,13.5,0.04,1,6
12,HillKick Max,Performance kickboard for hills,15.0,0.05,1,6
13,MopedOne E,Electric moped for urban travel,24.0,0.0,4,7
14,MopedOne Cargo,Electric moped with storage box,27.5,0.06,4,7
15,ShareMoped Mini,Shared urban moped,21.0,0.03,3,8
16,ShareMoped Plus,Shared urban moped with passenger seat,25.0,0.05,3,8
